Unnamed: 0;nome;sexo;cores;data nascimento;idade;vacinado;sociavel;animado;castrado;felv;adocao_especial;sexo_bin;vacinado_bin;sociavel_bin;animado_bin;castrado_bin;felv_bin;adocao_especial_bin;id;data_nasc_dt;faixa_etaria
0;Boina;1;"[""preto"", ""branco""]";23/06/2024;17;1;0;0;1;0;0;1;1;0;0;1;0;0;cat0001;2024-06-23;adulto
1;Jaqueta;1;"[""preto"", ""branco""]";03/2024;20;1;0;0;1;0;0;1;1;0;0;1;0;0;cat0002;2024-03-01;adulto
2;Carbonara;1;"[""preto"", ""branco""]";10/2023;25;1;1;0;1;0;0;1;1;1;0;1;0;0;cat0003;2023-10-01;adulto
3;Bolonhesa;0;"[""laranja"", ""branco""]";10/2020;61;1;0;0;1;0;0;0;1;0;0;1;0;0;cat0004;2020-10-01;adulto
4;Pomodoro;0;"[""preto"", ""branco""]";09/2020;62;1;0;0;1;0;0;0;1;0;0;1;0;0;cat0005;2020-09-01;adulto
5;Beyblade;1;"[""laranja""]";04/2024;19;1;0;0;1;0;0;1;1;0;0;1;0;0;cat0006;2024-04-01;adulto
6;Lego;0;"[""laranja""]";04/2024;19;1;0;0;1;0;0;0;1;0;0;1;0;0;cat0007;2024-04-01;adulto
7;Playmobil;1;"[""cinza"", ""bege""]";04/2024;19;1;0;0;1;0;0;1;1;0;0;1;0;0;cat0008;2024-04-01;adulto
8;Pipa;1;"[""preto"", ""laranja""]";05/2025;6;1;0;0;1;0;0;1;1;0;0;1;0;0;cat0009;2025-05-01;filhote
9;Bono;0;"[""cinza"", ""branco""]";11/2023;24;1;1;0;1;0;0;0;1;1;0;1;0;0;cat0010;2023-11-01;adulto
10;Oreo;0;"[""preto""]";11/2018;84;1;0;0;1;1;1;0;1;0;0;1;1;1;cat0011;2018-11-01;idoso
11;Tangerina;1;"[""laranja""]";05/2024;18;1;1;0;1;0;0;1;1;1;0;1;0;0;cat0012;2024-05-01;adulto
12;Kinkan;0;"[""laranja""]";10/2025;1;1;0;0;1;0;0;0;1;0;0;1;0;0;cat0013;2025-10-01;filhote
13;Ponkan;0;"[""laranja""]";10/2025;1;1;0;0;1;0;0;0;1;0;0;1;0;0;cat0014;2025-10-01;filhote
14;Lima;1;"[""laranja""]";10/2025;1;1;0;0;1;0;0;1;1;0;0;1;0;0;cat0015;2025-10-01;filhote
15;Mexerica;1;"[""laranja""]";10/2025;1;1;0;0;1;0;0;1;1;0;0;1;0;0;cat0016;2025-10-01;filhote
16;Du;0;"[""branco""]";09/2025;2;1;1;1;1;0;0;0;1;1;1;1;0;0;cat0017;2025-09-01;filhote
17;Edu;0;"[""laranja""]";09/2025;2;1;1;1;1;0;0;0;1;1;1;1;0;0;cat0018;2025-09-01;filhote
18;Duda;1;"[""branco""]";09/2025;2;1;1;1;1;0;0;1;1;1;1;1;0;0;cat0019;2025-09-01;filhote
19;Trakinas;0;"[""laranja""]";09/2025;2;1;1;0;1;0;0;0;1;1;0;1;0;0;cat0020;2025-09-01;filhote
20;Lui;1;"[""preto"", ""branco""]";09/2025;2;1;1;0;1;0;0;1;1;1;0;1;0;0;cat0021;2025-09-01;filhote
21;Lua;1;"[""preto"", ""branco""]";09/2025;2;1;1;1;1;0;0;1;1;1;1;1;0;0;cat0022;2025-09-01;filhote
22;Ka;1;"[""preto"", ""branco""]";09/2025;2;1;1;1;1;0;0;1;1;1;1;1;0;0;cat0023;2025-09-01;filhote
